ONS Code,Total Signature Count (2017-19),Unique Signature Count (2017-19)
E14000909,49223,23153
W07000051,49173,23000
E14000761,49170,22920
E14000900,49124,24224
E14000797,49070,22976
E14000842,49028,21413
E14001025,49013,22462
E14000916,48949,22473
E14000851,48930,23346
E14000917,48888,22244
E14001017,48788,21192
E14000781,48759,21946
E14000652,48754,24161
E14000766,48743,21648
E14000641,48731,22162
E14000829,48708,22069
E14000776,48699,20984
E14000811,48683,23008
E14000796,48682,22663
E14000692,48599,26350
W07000079,48573,22710
E14000878,48513,23404
E14000816,48490,21481
E14000574,48476,20720
E14000883,48427,21509
E14001033,48312,21585
E14000747,48306,22122
E14000679,48266,29247
E14000901,48263,22884
E14000556,48248,20825
E14000689,48234,22021
E14000943,48227,22109
E14000711,48219,21443
E14001052,48219,22184
E14000872,47997,22332
E14000590,47941,21906
E14001037,47823,21603
E14000624,47821,21832
E14000675,47816,27181
E14000894,47810,21916
E14000783,47775,25255
E14000930,47774,26784
E14000725,47584,21343
E14000743,47506,20016
E14000559,47444,20851
E14000826,47392,21558
E14000634,47386,24016
E14000952,47218,20015
E14000977,47216,22429
E14000662,47205,22382
E14000902,47192,21338
E14000806,47129,20902
E14000993,47059,20519
E14000710,47039,20936
E14000666,46979,21340
E14000905,46947,21923
E14000837,46923,19192
S14000031,46923,24539
W07000050,46883,24001
E14000794,46708,21637
E14000833,46626,21261
W07000078,46590,20762
E14000967,46461,20728
E14000812,46422,22693
E14000683,46398,18998
E14000987,46391,22636
E14000728,46344,22674
E14000540,46343,25799
E14000940,46298,21957
E14000544,46217,21699
E14000626,46183,20727
E14000759,46169,25400
E14000603,46147,20805
E14000823,46117,25479
E14000856,46094,19321
E14000965,46086,20287
E14000827,45994,20847
E14001022,45846,19357
E14001054,45833,21691
E14000723,45802,20728
E14000924,45785,19803
E14000785,45760,20405
E14000705,45720,19021
S14000039,45707,22154
E14000769,45654,20747
E14000571,45626,23746
E14000968,45579,22020
E14000709,45563,21255
E14000715,45542,20755
E14000913,45538,19295
E14000736,45424,20006
E14000923,45364,20170
E14000867,45340,24515
N06000003,45339,26429
E14000879,45295,18995
E14000870,45273,21529
S14000044,45268,23010
E14000847,45144,19148
S14000043,45107,23274
E14001045,45022,20540
E14000931,44996,22613
E14000650,44966,21641
E14000651,44963,23037
E14000994,44948,20789
W07000064,44927,16995
S14000034,44711,23670
E14000611,44707,20128
E14000791,44698,20732
E14000580,44678,20689
E14000869,44631,21263
E14000738,44601,19895
E14000760,44545,26893
E14000696,44504,22603
E14000935,44479,20834
E14000558,44443,21271
E14000836,44383,19372
E14000971,44285,20637
E14000982,44279,19746
E14000818,44279,20414
E14000805,44192,19727
E14000729,44144,20579
E14000814,44128,19422
S14000017,44123,21774
E14000664,44101,19097
E14000605,44089,20655
W07000054,44015,19382
E14001039,43993,19827
S14000057,43975,22354
E14000799,43972,18233
E14000863,43944,19729
E14000686,43898,20361
E14000688,43848,19873
E14000552,43755,21614
E14000657,43638,21831
E14000548,43635,20962
E14000622,43561,18579
E14000858,43538,20126
E14000732,43490,25267
E14000815,43450,19394
E14000746,43428,18927
E14000606,43077,21242
S14000005,43046,19385
E14000695,42882,18974
E14000939,42866,18377
E14000560,42836,22455
E14000985,42786,21101
E14000897,42628,20183
E14000701,42602,24251
E14000706,42599,18713
E14000828,42548,19388
E14000565,42534,19838
E14000848,42500,17005
E14001058,42478,18577
E14000774,42379,19946
E14000546,42330,18433
E14001044,42276,18380
E14000862,42241,20750
S14000050,42238,20932
E14000638,42173,18387
E14000543,42062,18175
E14000876,41977,18092
E14000625,41957,20232
E14000921,41918,19340
E14001057,41910,19642
E14000831,41854,20315
E14000820,41703,17685
E14000663,41674,20803
E14001043,41522,18551
E14000903,41487,18731
E14000537,41458,19225
E14000658,41346,18201
S14000028,41274,20915
E14000871,41249,20779
E14000661,41227,18820
E14000592,41179,25955
E14000825,41112,17733
S14000019,41032,21261
E14000610,40986,19679
E14000877,40948,17349
E14000765,40908,17621
E14000691,40869,22014
S14000021,40751,22237
E14000810,40729,18250
E14000859,40727,17773
E14001009,40596,18809
E14000570,40570,20446
S14000058,40516,20772
E14000632,40456,17787
E14000564,40398,25092
E14000649,40365,20884
E14000801,40299,21540
E14000756,40297,19543
S14000049,40288,19434
E14000535,40257,17439
E14001020,40244,17522
E14000577,40218,17187
E14000620,40150,17382
S14000054,40009,19878
E14000554,39939,15643
E14000642,39919,15319
E14000843,39899,17304
E14000575,39879,17092
E14000578,39726,18215
E14000986,39665,18126
S14000056,39572,20968
E14000840,39499,17243
E14000975,39469,17440
E14000668,39447,18079
E14000647,39428,16980
E14000834,39398,17944
E14000643,39395,16902
E14000754,39333,17270
E14000717,39271,16859
S14000033,39270,20400
S14000018,39173,21472
E14000618,39067,17640
E14000582,38896,16446
E14000724,38778,18466
W07000047,38707,17107
E14000868,38628,18023
E14000737,38618,22603
S14000045,38533,19572
S14000037,38484,20412
E14000892,38426,17880
E14000533,38409,16297
E14000587,38387,19515
E14000588,38298,18247
E14000740,38264,17102
S14000008,38260,18246
E14000572,38166,16382
E14000861,38137,18323
E14000854,38090,17333
E14000772,38076,17433
E14000778,38072,17979
W07000068,38047,14835
E14001028,37967,16782
W07000046,37884,16598
E14000758,37876,17748
E14000885,37872,18388
S14000002,37802,20903
W07000043,37688,17200
E14000569,37658,16147
E14000579,37543,18454
E14000596,37411,15638
E14000945,37391,17026
E14001014,37387,16027
S14000046,37364,17123
E14000568,37294,19361
S14000013,37146,16411
S14000014,37019,17073
E14000784,37008,18917
E14000944,36869,15800
E14000667,36811,16581
E14000970,36790,16126
E14000875,36730,17082
S14000001,36725,19876
S14000055,36714,16627
W07000067,36701,14260
E14000589,36668,19873
E14000976,36586,16793
W07000056,36573,17126
W07000065,36367,14850
W07000059,36354,14950
E14000669,36252,15852
E14000731,36195,21866
S14000052,36188,19003
S14000042,36176,19008
E14000563,36091,20428
E14000676,36037,20636
E14000915,36018,15667
E14000920,35936,16362
E14000733,35889,15531
E14000800,35833,18876
E14000866,35723,16187
S14000048,35574,17139
S14000016,35439,18383
S14000041,35283,17544
E14000891,35282,15257
E14000542,34925,15393
W07000066,34913,14411
E14000973,34902,16161
E14000722,34801,16419
E14000609,34774,16137
E14001053,34707,14782
E14000561,34568,17302
S14000012,34447,17512
W07000075,34413,15859
W07000041,34327,13961
E14000966,34167,14588
E14000541,34037,15050
S14000053,33975,17294
W07000076,33970,15324
W07000045,33969,14078
E14000677,33916,14194
W07000057,33830,14470
N06000001,33791,18114
N06000009,33758,18381
E14001012,33711,16957
W07000073,33592,15542
E14000573,33569,15162
E14000773,33338,15325
E14000914,33238,14676
E14000716,32766,14471
S14000040,32679,16815
E14000974,32667,15131
N06000013,32656,17036
S14000059,32635,16697
E14000819,32629,15101
W07000055,32434,14546
W07000042,32414,14142
N06000017,31883,18130
W07000060,31723,13446
S14000015,31580,16532
S14000011,31542,17007
E14000904,31474,15574
S14000035,31435,16363
E14000972,31415,15219
E14001051,31370,15839
E14000531,31315,14521
S14000006,31232,15475
E14001016,31177,16129
E14000687,30971,19221
W07000063,30846,12048
W07000062,30846,13440
E14001011,30619,14895
E14000771,30481,13939
W07000048,30339,13939
N06000015,30323,18140
W07000069,30183,12897
S14000010,30031,15363
W07000053,29937,13337
N06000002,29925,16629
E14000782,29923,17024
E14000566,29453,16715
N06000008,29277,17894
S14000047,29168,15656
W07000058,29157,12129
S14000004,29022,13794
N06000014,29007,16682
W07000061,28931,11553
E14000672,28781,13238
S14000038,28660,14684
S14000007,28393,13536
S14000036,28096,13955
E14001030,28048,14210
N06000005,28045,14560
S14000032,28025,15154
S14000030,27989,14844
W07000074,27959,12326
E14001049,27821,13782
W07000077,27546,12069
N06000016,27103,14375
E14000671,26765,13400
W07000044,26746,12605
E14001029,25961,13442
S14000003,25756,13972
N06000012,25525,14455
N06000011,24881,15490
W07000049,24788,11290
W07000070,24737,10928
S14000009,24407,10867
W07000071,24182,11227
E14001050,23951,12340
N06000006,23343,12962
W07000052,23314,10275
N06000007,23024,13827
S14000051,22763,9624
W07000072,22674,9906
N06000004,21258,12983
N06000018,18427,11559
N06000010,18139,11750
S14000027,10624,5214
