ONS Code,Total Signature Count (2017-19),Unique Signature Count (2017-19)
E14000602,119877,58343
E14000598,107911,47626
E14000752,98007,49792
E14000617,94171,44799
E14000750,94004,50478
E14000720,89924,48505
E14000762,86891,35787
E14000789,84933,43862
E14000755,84684,38652
E14000553,82590,46626
E14000896,82536,43806
E14000763,82084,44252
S14000023,81695,41640
E14000673,81566,43182
E14000727,80973,46334
E14000934,80827,37579
E14001005,80669,40823
E14000873,80620,40208
E14000555,80304,46434
E14000721,79671,45841
E14000874,79084,37590
E14000978,75411,42236
E14000882,74831,43901
E14001008,74639,43425
E14000615,74148,40938
E14000674,74145,41756
E14000937,74028,33440
E14000639,73355,49119
E14000788,72556,36136
E14000764,71714,41046
E14000718,71480,37857
E14000593,71020,38872
E14000919,70804,36448
E14000793,70775,35362
E14000597,70533,30231
E14000809,70524,35549
E14000770,70455,36098
E14001015,70350,32623
E14000960,69907,33832
E14000697,69753,35444
E14000601,69522,31703
E14000619,69064,31125
E14000807,68883,38563
E14000980,68596,28923
E14000822,68534,32935
E14000821,68202,32795
E14000953,68038,32907
E14000889,67909,33180
E14000608,67721,30793
E14001061,67318,30334
E14000726,67263,39230
E14000549,67088,40231
E14000735,66968,26283
E14000880,66768,29141
E14000539,66650,30253
E14000998,66542,38435
E14000703,66355,37271
E14000942,66351,30746
E14001013,66104,34291
E14001032,66026,38530
E14000698,65928,29816
E14000932,65782,27685
E14000864,65694,29629
E14000547,65501,30718
E14000855,65472,30047
E14000951,65196,31996
E14000749,64984,31993
E14000719,64568,32524
E14000786,64465,27170
E14000614,64418,26684
E14000742,64393,30537
S14000022,64019,32256
E14000817,63871,30478
E14000538,63853,29843
E14001002,63570,35202
E14001040,63446,34521
E14000753,63422,29593
E14001046,63394,29175
E14001048,63231,30855
E14000744,63048,30216
E14000929,62718,27152
E14001003,62564,26821
E14000623,62543,25897
E14001026,61775,25577
E14000599,61562,27902
E14000681,61560,29896
E14001047,61531,30095
E14001001,61473,23975
E14000600,61316,29276
E14000636,61195,32481
E14000644,61065,29110
E14000631,61055,29533
E14000536,60732,27486
E14000887,60590,34352
E14000963,60575,27804
E14000768,60465,35835
E14000739,60300,28765
E14001041,60091,29226
S14000024,59996,30974
E14000757,59972,28017
E14000704,59957,25455
E14000694,59881,29689
E14001018,59854,28848
E14000841,59801,27865
E14000792,59741,26885
E14001019,59712,28325
E14000910,59634,28650
E14000630,59610,28592
E14000988,59429,26727
E14000633,59404,27549
E14000850,59337,27255
E14000708,58994,26295
E14000534,58802,26832
E14001031,58642,25407
E14000824,58495,28246
E14000938,58464,22618
E14000655,58421,32549
E14000656,58406,30254
E14001021,58354,30084
E14000628,58244,27703
E14000893,58176,28636
E14000922,58152,27397
E14000678,58116,25580
E14000790,58031,30693
E14001004,57931,28397
E14000748,57918,23744
E14001023,57908,26788
E14000830,57816,27389
E14000844,57753,27513
E14000983,57657,27972
E14000645,57572,25701
E14000997,57486,27380
E14000545,57444,27116
E14000803,57390,28870
E14000586,57382,26793
E14001000,57214,22715
E14000777,57201,30745
E14000907,57121,28568
E14000682,57058,25046
E14000857,57000,25560
E14000911,56937,28738
E14000898,56825,25426
E14000989,56825,25546
E14000584,56654,25708
E14000532,56626,28303
S14000025,56453,29812
E14000948,56450,22589
E14000964,56427,20963
E14000908,56417,26796
E14000927,56408,24992
E14001038,56310,24408
E14000835,56192,23576
E14000787,56186,29443
E14000635,56173,24763
E14000581,56141,25428
E14000775,56127,26350
E14000981,56087,23900
E14000629,55926,34924
E14000845,55827,25704
E14000813,55797,26917
E14000884,55764,25610
E14000979,55620,25346
E14000941,55613,24730
E14000926,55557,24090
E14001042,55500,27846
E14000684,55473,24134
E14000751,55429,25940
E14000906,55383,27864
E14001056,55347,28250
E14001006,55169,25087
E14000714,55152,24324
E14000949,55014,25307
E14000802,55005,25153
W07000080,54776,25938
E14000557,54772,23745
E14000680,54747,25498
E14000613,54725,25393
E14000991,54690,25807
E14000961,54681,22141
E14000659,54640,25801
E14001036,54631,32704
E14000779,54517,26799
E14001027,54477,26645
E14000640,54411,25615
E14000995,54272,25863
E14000808,54264,27594
E14000890,54229,25678
E14000690,54135,25890
E14000992,54096,25623
E14000928,54091,23544
E14000654,54004,28199
E14000550,53606,27520
E14000899,53483,23265
E14000699,53436,23992
E14000956,53255,25230
E14001010,53247,21887
E14000702,53146,25498
E14000562,53141,27118
E14000591,53088,31490
E14000918,53080,25025
E14000999,52947,22277
E14001062,52928,24564
E14000962,52739,24138
E14001059,52661,25201
E14000730,52529,24849
E14000954,52467,22815
E14000912,52295,23601
E14000804,52205,24703
E14000925,52166,23188
E14000660,52088,23376
E14000685,52035,24525
E14000595,51996,22215
E14000795,51904,24044
E14000990,51895,24200
E14001055,51888,22927
E14000996,51844,22257
E14000947,51748,23350
E14000936,51747,21097
E14000832,51719,25292
E14000637,51714,23088
E14000551,51709,26074
E14000627,51601,25306
E14000648,51581,24182
E14000670,51574,20976
E14000950,51484,22031
E14000646,51439,23191
E14000567,51360,25016
E14000612,51345,23973
E14001060,51316,22332
E14000585,51296,23984
E14000955,51276,23885
E14000734,51191,22253
E14000607,51028,23065
E14000895,51017,22362
E14000713,50827,21559
E14000838,50820,20968
E14000653,50819,22660
E14000741,50772,30462
E14000780,50687,24764
E14000852,50674,21112
E14000865,50670,23598
E14001035,50618,21917
E14000853,50607,22140
E14000969,50567,23285
E14000881,50519,22809
E14000839,50468,22337
E14000530,50446,23848
E14000888,50437,22461
E14000707,50350,21601
E14001034,50210,22478
E14000798,50131,19330
E14000583,50120,22906
E14000745,50113,26248
E14000846,50073,23140
E14000860,50034,23236
E14000700,50022,22501
E14000616,49996,19992
S14000029,49953,27910
E14000767,49950,23109
E14000665,49816,23069
E14000576,49703,20911
E14000946,49679,22550
E14000621,49665,24215
E14000984,49599,25657
S14000020,49572,24329
E14000604,49567,25403
E14001007,49544,26381
E14000957,49532,21790
E14000886,49496,23753
E14000849,49466,20595
E14000933,49419,21540
E14000958,49407,21137
E14000712,49402,23622
S14000026,49401,25632
E14001024,49387,21886
E14000959,49360,23736
E14000594,49352,23396
E14000693,49351,24674
